Size,Naive,Better,Blas
50,0.002670,0.002238,0.000590
50,0.001031,0.001352,0.000019
50,0.001260,0.001305,0.000020
50,0.001186,0.001076,0.000022
50,0.001076,0.001105,0.000023
50,0.001093,0.001262,0.000021
50,0.001024,0.001021,0.000019
50,0.001025,0.001086,0.000023
50,0.001070,0.001019,0.000020
50,0.001036,0.001065,0.000015
100,0.009735,0.008133,0.000475
100,0.008166,0.008202,0.000041
100,0.008473,0.008120,0.000046
100,0.008164,0.008170,0.000042
100,0.008170,0.008132,0.000041
100,0.010408,0.011179,0.000049
100,0.008659,0.008126,0.000041
100,0.008157,0.008123,0.000042
100,0.008154,0.008125,0.000048
100,0.008178,0.008159,0.000052
150,0.027559,0.027901,0.000119
150,0.027418,0.027610,0.000096
150,0.027462,0.027602,0.000095
150,0.032319,0.027841,0.002810
150,0.029612,0.027630,0.000112
150,0.036610,0.062554,0.000171
150,0.030484,0.031445,0.000110
150,0.027469,0.027526,0.000098
150,0.030252,0.030198,0.000100
150,0.032771,0.033197,0.000098
200,0.069142,0.067246,0.000294
200,0.066880,0.066376,0.000230
200,0.070686,0.065346,0.000247
200,0.068530,0.067990,0.000257
200,0.070898,0.067354,0.000264
200,0.067194,0.066988,0.008363
200,0.068606,0.072830,0.000239
200,0.067086,0.071753,0.000253
200,0.066903,0.084157,0.001307
200,0.068513,0.078385,0.000278
250,0.137271,0.180585,0.000458
250,0.139582,0.136172,0.000446
250,0.136638,0.165882,0.000426
250,0.147196,0.156017,0.000419
250,0.139048,0.169199,0.000452
250,0.137004,0.169688,0.000424
250,0.132531,0.154079,0.000725
250,0.143229,0.136751,0.000429
250,0.134277,0.144225,0.000983
250,0.147369,0.171807,0.000428
300,0.229245,0.238446,0.000632
300,0.220966,0.240035,0.000645
300,0.233204,0.248919,0.008181
300,0.228675,0.235649,0.000587
300,0.228891,0.246180,0.000614
300,0.223849,0.230387,0.000645
300,0.228787,0.239359,0.000606
300,0.226036,0.296625,0.001173
300,0.243409,0.245652,0.000597
300,0.254708,0.325325,0.001172
350,0.407899,0.524683,0.000871
350,0.375978,0.475308,0.000870
350,0.380268,0.427665,0.000888
350,0.405452,0.436321,0.000836
350,0.389551,0.449952,0.001122
350,0.378859,0.411984,0.000867
350,0.363747,0.501181,0.000887
350,0.369195,0.413251,0.000873
350,0.355827,0.415833,0.000868
350,0.364970,0.402998,0.000843
400,0.644622,0.707415,0.002201
400,0.592898,0.640464,0.001134
400,0.653252,0.687417,0.002090
400,0.674238,0.852427,0.001134
400,0.633398,0.690408,0.001418
400,0.624955,0.666117,0.001108
400,0.620880,0.635379,0.002175
400,0.610552,0.650898,0.001103
400,0.718369,0.772577,0.001117
400,0.617702,0.695263,0.001119
450,0.882466,1.036915,0.001517
450,1.041900,1.213569,0.001506
450,0.868095,1.029728,0.001507
450,0.867961,1.210762,0.001497
450,1.022149,1.164621,0.001486
450,0.894019,1.001570,0.001509
450,0.979242,1.186809,0.004642
450,0.937665,0.974584,0.009778
450,0.888817,1.052800,0.001528
450,0.895114,1.004345,0.003189
500,1.297476,1.492900,0.002265
500,1.261320,2.092316,0.002270
500,1.236499,1.502161,0.002902
500,1.432697,1.631384,0.002222
500,1.279227,2.201350,0.002205
500,1.300536,1.731712,0.004635
500,1.355932,1.936716,0.006413
500,1.337258,1.717624,0.008212
500,1.342149,1.772216,0.006135
500,1.347752,2.059082,0.004224
550,1.992333,2.947314,0.007086
550,1.785633,2.475935,0.012315
550,1.810457,2.433557,0.007552
550,1.782877,2.398738,0.006198
550,1.815225,2.324610,0.005437
550,1.764367,2.321161,0.005872
550,1.775585,2.464946,0.002829
550,1.804159,2.425510,0.005423
550,1.841597,2.342115,0.002785
550,1.771893,2.385162,0.012827
600,2.218316,2.408394,0.003608
600,2.044105,1.963208,0.003559
600,1.952567,3.127371,0.003544
600,2.036262,2.575210,0.003555
600,2.065366,2.077483,0.003585
600,1.853397,2.343878,0.003554
600,2.168013,2.906660,0.008319
600,2.074698,1.933898,0.003573
600,1.892254,2.325846,0.003572
600,1.823261,1.930032,0.003572
