x,y
-6.54,3.39
-6.44,12.5444
-6.34,19.0637
-6.24,23.3569
-6.14,25.794
-6.04,26.7079
-5.94,26.3969
-5.84,25.127
-5.74,23.1336
-5.64,20.6237
-5.54,17.7779
-5.44,14.7519
-5.34,11.6789
-5.24,8.67081
-5.14,5.82
-5.04,3.20099
-4.94,0.87189
-4.84,-1.12415
-4.74,-2.75754
-4.64,-4.01095
-4.54,-4.87804
-4.44,-5.36226
-4.34,-5.47573
-4.24,-5.23812
-4.14,-4.67567
-4.04,-3.8202
-3.94,-2.7082
-3.84,-1.37995
-3.74,0.121226
-3.64,1.74981
-3.54,3.45872
-3.44,5.2
-3.34,6.92545
-3.24,8.58715
-3.14,10.138
-3.04,11.5323
-2.94,12.7258
-2.84,13.6768
-2.74,14.3458
-2.64,14.6961
-2.54,14.6941
-2.44,14.3097
-2.34,13.5161
-2.24,12.2903
-2.14,10.613
-2.04,8.46895
-1.94,5.84696
-1.84,2.73977
-1.74,-0.855729
-1.64,-4.93861
-1.54,-9.50392
-1.44,-14.5427
-1.34,-20.0421
-1.24,-25.9856
-1.14,-32.3529
-1.04,-39.1201
-0.94,-46.2602
-0.84,-53.7429
-0.74,-61.535
-0.64,-69.6003
-0.54,-77.9004
-0.44,-86.3944
-0.34,-95.0395
-0.24,-103.791
-0.14,-112.603
-0.04,-121.428
0.06,-130.217
0.16,-138.922
0.26,-147.494
0.36,-155.882
0.46,-164.038
0.56,-171.914
0.66,-179.461
0.76,-186.633
0.86,-193.385
0.96,-199.674
1.06,-205.457
1.16,-210.696
1.26,-215.355
1.36,-219.399
1.46,-222.799
1.56,-225.526
1.66,-227.557
1.76,-228.873
1.86,-229.456
1.96,-229.296
2.06,-228.385
2.16,-226.719
2.26,-224.301
2.36,-221.137
2.46,-217.238
2.56,-212.62
2.66,-207.303
2.76,-201.315
2.86,-194.685
2.96,-187.45
3.06,-179.649
3.16,-171.328
3.26,-162.537
3.36,-153.33
3.46,-143.766
3.56,-133.905
3.66,-123.816
3.76,-113.567
3.86,-103.231
3.96,-92.8831
4.06,-82.6009
4.16,-72.4636
4.26,-62.5519
4.36,-52.9471
4.46,-43.7307
4.56,-34.9834
4.66,-26.785
4.76,-19.2131
4.86,-12.3427
4.96,-6.24515
5.06,-0.987138
5.16,3.37
5.26,6.77145
5.36,9.16995
5.46,10.5269
5.56,10.8137
5.66,10.0126
5.76,8.11849
5.86,5.14
5.96,1.10094
6.06,-3.95815
6.16,-9.97845
6.26,-16.8812
6.36,-24.5661
6.46,-32.9094
6.56,-41.7621
6.66,-50.9482
6.76,-60.2625
6.86,-69.4686
6.96,-78.2968
7.06,-86.442
7.16,-93.5611
7.26,-99.2709
7.36,-103.146
7.46,-104.714
7.56,-103.458
7.66,-98.8075
7.76,-90.1404
7.86,-76.778
7.96,-57.9826
8.06,-32.9543
8.16,-0.827956
