x,y
-7.34,7.39
-7.24,6.84146
-7.14,6.30062
-7.04,5.77475
-6.94,5.27111
-6.84,4.79696
-6.74,4.35957
-6.64,3.96621
-6.54,3.62412
-6.44,3.34059
-6.34,3.12287
-6.24,2.97822
-6.14,2.91218
-6.04,2.87321
-5.94,2.8344
-5.84,2.79575
-5.74,2.75725
-5.64,2.71891
-5.54,2.68072
-5.44,2.64267
-5.34,2.60476
-5.24,2.56699
-5.14,2.52935
-5.04,2.49185
-4.94,2.45446
-4.84,2.4172
-4.74,2.38006
-4.64,2.34303
-4.54,2.30611
-4.44,2.2693
-4.34,2.23259
-4.24,2.19598
-4.14,2.15946
-4.04,2.12303
-3.94,2.0867
-3.84,2.05044
-3.74,2.01426
-3.64,1.97816
-3.54,1.94213
-3.44,1.90616
-3.34,1.87026
-3.24,1.83442
-3.14,1.79864
-3.04,1.76291
-2.94,1.72722
-2.84,1.69158
-2.74,1.65598
-2.64,1.62042
-2.54,1.58489
-2.44,1.54938
-2.34,1.51391
-2.24,1.47845
-2.14,1.44301
-2.04,1.40759
-1.94,1.37217
-1.84,1.33676
-1.74,1.30135
-1.64,1.26594
-1.54,1.23052
-1.44,1.19509
-1.34,1.15965
-1.24,1.12419
-1.14,1.08874
-1.04,1.05345
-0.94,1.01834
-0.84,0.983394
-0.74,0.948622
-0.64,0.914023
-0.54,0.879597
-0.44,0.845343
-0.34,0.811263
-0.24,0.777356
-0.14,0.743622
-0.04,0.710061
0.06,0.676674
0.16,0.64346
0.26,0.61042
0.36,0.577554
0.46,0.544862
0.56,0.512344
0.66,0.48
0.76,0.535443
0.86,0.752081
0.96,1.10861
1.06,1.58372
1.16,2.1561
1.26,2.80445
1.36,3.50746
1.46,4.24383
1.56,4.99224
1.66,5.7314
1.76,6.43999
1.86,7.0967
1.96,7.68024
2.06,8.16929
2.16,8.54254
2.26,8.7787
2.36,8.85867
2.46,8.78837
2.56,8.58878
2.66,8.28099
2.76,7.88612
2.86,7.42527
2.96,6.91955
3.06,6.39007
3.16,5.85794
3.26,5.34426
3.36,4.87015
3.46,4.4567
3.56,4.12504
3.66,3.95185
3.76,4.11836
3.86,4.51439
3.96,5.00074
4.06,5.43825
4.16,5.68773
4.26,5.61
4.36,2.57
4.46,1.20523
4.56,-0.0389366
4.66,-1.16226
4.76,-2.16452
4.86,-3.04549
4.96,-3.80494
5.06,-4.44265
5.16,-4.95839
5.26,-5.35194
5.36,-5.62306
5.46,-5.77154
5.56,-5.79715
5.66,-5.69966
5.76,-5.47885
5.86,-5.13448
5.96,-4.66634
6.06,-4.0742
6.16,-3.35783
6.26,-2.517
6.36,-1.5515
6.46,-0.461085
6.56,0.754459
6.66,2.09536
6.76,3.56185
6.86,5.15414
