x,y
-6.54,3.39
-6.44,3.63678
-6.34,3.88131
-6.24,4.12134
-6.14,4.35461
-6.04,4.57886
-5.94,4.79186
-5.84,4.99133
-5.74,5.17504
-5.64,5.34073
-5.54,5.48614
-5.44,5.60903
-5.34,5.70713
-5.24,5.77821
-5.14,5.82
-5.04,5.83134
-4.94,5.8154
-4.84,5.77644
-4.74,5.71873
-4.64,5.64652
-4.54,5.56408
-4.44,5.47566
-4.34,5.38552
-4.24,5.29793
-4.14,5.21714
-4.04,5.14742
-3.94,5.09302
-3.84,5.0582
-3.74,5.04723
-3.64,5.06437
-3.54,5.11387
-3.44,5.2
-3.34,5.32481
-3.24,5.48156
-3.14,5.6613
-3.04,5.85509
-2.94,6.05396
-2.84,6.24899
-2.74,6.43121
-2.64,6.59168
-2.54,6.72145
-2.44,6.81158
-2.34,6.85311
-2.24,6.83711
-2.14,6.75461
-2.04,6.59668
-1.94,6.35437
-1.84,6.02247
-1.74,5.60397
-1.64,5.103
-1.54,4.52369
-1.44,3.87015
-1.34,3.14653
-1.24,2.35693
-1.14,1.5055
-1.04,0.596341
-0.94,-0.366408
-0.84,-1.37863
-0.74,-2.43619
-0.64,-3.53497
-0.54,-4.67084
-0.44,-5.83968
-0.34,-7.03737
-0.24,-8.25977
-0.14,-9.50277
-0.04,-10.7622
0.06,-12.034
0.16,-13.3141
0.26,-14.5982
0.36,-15.8823
0.46,-17.1622
0.56,-18.4338
0.66,-19.6931
0.76,-20.9358
0.86,-22.1579
0.96,-23.3551
1.06,-24.5235
1.16,-25.6588
1.26,-26.757
1.36,-27.8139
1.46,-28.8254
1.56,-29.7873
1.66,-30.6956
1.76,-31.5461
1.86,-32.3347
1.96,-33.0573
2.06,-33.7097
2.16,-34.2878
2.26,-34.7875
2.36,-35.2047
2.46,-35.5353
2.56,-35.775
2.66,-35.9198
2.76,-35.9657
2.86,-35.9083
2.96,-35.7437
3.06,-35.4676
3.16,-35.076
3.26,-34.5648
3.36,-33.9298
3.46,-33.1669
3.56,-32.2719
3.66,-31.2408
3.76,-30.0694
3.86,-28.7536
3.96,-27.2892
4.06,-25.6722
4.16,-23.8985
4.26,-21.9638
4.36,-19.864
4.46,-17.5951
4.56,-15.153
4.66,-12.5334
4.76,-9.73229
4.86,-6.74552
4.96,-3.56896
5.06,-0.198498
5.16,3.37
5.26,6.75325
5.36,8.75139
5.46,9.44051
5.56,9.12229
5.66,8.09835
5.76,6.67037
5.86,5.14
5.96,3.75718
6.06,2.56502
6.16,1.55495
6.26,0.718374
6.36,0.0466993
6.46,-0.468661
6.56,-0.836294
6.66,-1.06479
6.76,-1.16274
6.86,-1.13872
6.96,-1.00134
7.06,-0.759174
7.16,-0.420813
7.26,0.00515283
7.36,0.510135
7.46,1.08555
7.56,1.72279
7.66,2.41329
7.76,3.14845
7.86,3.91969
7.96,4.7184
8.06,5.53602
8.16,6.36394
