x,y
-8.46,47.3397
-8.36,36.7118
-8.26,27.6214
-8.16,19.9352
-8.06,13.5256
-7.96,8.27
-7.86,4.05166
-7.76,0.759232
-7.66,-1.71302
-7.56,-3.46522
-7.46,-4.59188
-7.36,-5.18193
-7.26,-5.31875
-7.16,-5.08024
-7.06,-4.53883
-6.96,-3.76161
-6.86,-2.81038
-6.76,-1.74178
-6.66,-0.607379
-6.56,0.546185
-6.46,1.6771
-6.36,2.74822
-6.26,3.72693
-6.16,4.585
-6.06,5.29839
-5.96,5.84713
-5.86,6.21513
-5.76,6.39
-5.66,6.36286
-5.56,6.1282
-5.46,5.68363
-5.36,5.02977
-5.26,4.17
-5.16,3.11029
-5.06,1.859
-4.96,0.426733
-4.86,-1.17393
-4.76,-2.92854
-4.66,-4.82105
-4.56,-6.83392
-4.46,-8.94837
-4.36,-11.1445
-4.26,-13.4015
-4.16,-15.6979
-4.06,-18.0116
-3.96,-20.32
-3.86,-22.6005
-3.76,-24.8303
-3.66,-26.9866
-3.56,-29.047
-3.46,-30.9893
-3.36,-32.792
-3.26,-34.4339
-3.16,-35.895
-3.06,-37.1558
-2.96,-38.198
-2.86,-39.0043
-2.76,-39.5587
-2.66,-39.8463
-2.56,-39.8537
-2.46,-39.5688
-2.36,-38.9812
-2.26,-38.0819
-2.16,-36.8636
-2.06,-35.3206
-1.96,-33.449
-1.86,-31.2463
-1.76,-28.7122
-1.66,-25.8479
-1.56,-22.6563
-1.46,-19.1423
-1.36,-15.3123
-1.26,-11.1745
-1.16,-6.73902
-1.06,-2.01733
-0.96,2.97729
-0.86,8.23
-0.76,13.7244
-0.66,19.4428
-0.56,25.3658
-0.46,31.4729
-0.36,37.7424
-0.26,44.1511
-0.16,50.6752
-0.06,57.2896
0.04,63.9684
0.14,70.685
0.24,77.4122
0.34,84.1222
0.44,90.7868
0.54,97.3774
0.64,103.866
0.74,110.223
0.84,116.42
0.94,122.429
1.04,128.223
1.14,133.773
1.24,139.053
1.34,144.038
1.44,148.702
1.54,153.022
1.64,156.974
1.74,160.538
1.84,163.694
1.94,166.424
2.04,168.712
2.14,170.542
2.24,171.903
2.34,172.785
2.44,173.178
2.54,173.078
2.64,172.481
2.74,171.387
2.84,169.796
2.94,167.714
3.04,165.147
3.14,162.106
3.24,158.603
3.34,154.654
3.44,150.277
3.54,145.494
3.64,140.328
3.74,134.806
3.84,128.958
3.94,122.817
4.04,116.416
4.14,109.793
4.24,102.989
4.34,96.0444
4.44,89.0035
4.54,81.9123
4.64,74.818
4.74,67.7695
4.84,60.8167
4.94,54.0105
5.04,47.4021
5.14,41.043
5.24,34.9846
5.34,29.2773
5.44,23.9709
5.54,19.1134
5.64,14.7508
5.74,10.9264
5.84,7.68053
5.94,5.04952
6.04,3.06533
6.14,1.75471
6.24,1.13853
6.34,1.23093
6.44,2.03852
6.54,3.55951
6.64,5.78277
6.74,8.68685
6.84,12.239
6.94,16.394
7.04,21.0933
7.14,26.2633
7.24,31.8148
7.34,37.6412
7.44,43.6174
7.54,49.5982
7.64,55.417
7.74,60.8844
7.84,65.7863
7.94,69.8821
8.04,72.9037
8.14,74.5531
8.24,74.5005
8.34,72.3827
8.44,67.801
8.54,60.319
8.64,49.4606
8.74,34.7074
8.84,15.4971
8.94,-8.77971
9.04,-38.7815
9.14,-75.2185
9.24,-118.855
9.34,-170.514
9.44,-231.076
